group,scenario,backend,rep,op,counter,value
nix,nix/closure,amber-rust,0,import_initial,store_closures_allocated_bytes,4096
nix,nix/closure,amber-rust,0,import_initial,store_closures_apparent_bytes,0
nix,nix/closure,amber-rust,0,import_initial,store_packstore_allocated_bytes,109232128
nix,nix/closure,amber-rust,0,import_initial,store_packstore_apparent_bytes,109217904
nix,nix/closure,amber-rust,0,import_initial,store_refs_allocated_bytes,1634304
nix,nix/closure,amber-rust,0,import_initial,store_refs_apparent_bytes,3686400
nix,nix/closure,amber-rust,0,import_repeat,store_closures_allocated_bytes,4096
nix,nix/closure,amber-rust,0,import_repeat,store_closures_apparent_bytes,0
nix,nix/closure,amber-rust,0,import_repeat,store_packstore_allocated_bytes,109232128
nix,nix/closure,amber-rust,0,import_repeat,store_packstore_apparent_bytes,109217904
nix,nix/closure,amber-rust,0,import_repeat,store_refs_allocated_bytes,1634304
nix,nix/closure,amber-rust,0,import_repeat,store_refs_apparent_bytes,3686400
nix,nix/closure,amber-rust,0,import_incremental,store_closures_allocated_bytes,4096
nix,nix/closure,amber-rust,0,import_incremental,store_closures_apparent_bytes,0
nix,nix/closure,amber-rust,0,import_incremental,store_packstore_allocated_bytes,126033920
nix,nix/closure,amber-rust,0,import_incremental,store_packstore_apparent_bytes,126015842
nix,nix/closure,amber-rust,0,import_incremental,store_refs_allocated_bytes,1634304
nix,nix/closure,amber-rust,0,import_incremental,store_refs_apparent_bytes,3686400
nix,nix/closure,amber-rust,0,delete_path,store_closures_allocated_bytes,4096
nix,nix/closure,amber-rust,0,delete_path,store_closures_apparent_bytes,0
nix,nix/closure,amber-rust,0,delete_path,store_packstore_allocated_bytes,126033920
nix,nix/closure,amber-rust,0,delete_path,store_packstore_apparent_bytes,126015842
nix,nix/closure,amber-rust,0,delete_path,store_refs_allocated_bytes,1634304
nix,nix/closure,amber-rust,0,delete_path,store_refs_apparent_bytes,3686400
nix,nix/closure,amber-rust,0,age_sealed_segments,segments_aged,2
nix,nix/closure,amber-rust,0,gc,allocated_before_delete,127676416
nix,nix/closure,amber-rust,0,gc,reclaimed_packstore_bytes,-40960
nix,nix/closure,amber-rust,0,gc,store_closures_allocated_bytes,4096
nix,nix/closure,amber-rust,0,gc,store_closures_apparent_bytes,0
nix,nix/closure,amber-rust,0,gc,store_packstore_allocated_bytes,126074880
nix,nix/closure,amber-rust,0,gc,store_packstore_apparent_bytes,126056392
nix,nix/closure,amber-rust,0,gc,store_refs_allocated_bytes,1634304
nix,nix/closure,amber-rust,0,gc,store_refs_apparent_bytes,3686400
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_bytes_down,4141
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_bytes_up,119882131
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_connections,8
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_request_body_bytes,119871163
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_requests_GET,2
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_requests_POST,4
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_requests_PUT,9
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_requests_total,15
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_response_body_bytes,2471
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_responses_2xx,14
blob,blob/source-history,amber-rust-s3,0,push_initial,s3_responses_4xx,1
blob,blob/source-history,amber-rust-s3,0,push_initial,stored_bytes,119705002
blob,blob/source-history,amber-rust-s3,0,push_initial,stored_objects,3
blob,blob/source-history,amber-rust-s3,0,push_noop,s3_bytes_down,1799
blob,blob/source-history,amber-rust-s3,0,push_noop,s3_bytes_up,1200
blob,blob/source-history,amber-rust-s3,0,push_noop,s3_connections,1
blob,blob/source-history,amber-rust-s3,0,push_noop,s3_request_body_bytes,0
blob,blob/source-history,amber-rust-s3,0,push_noop,s3_requests_GET,2
blob,blob/source-history,amber-rust-s3,0,push_noop,s3_requests_total,2
blob,blob/source-history,amber-rust-s3,0,push_noop,s3_response_body_bytes,1573
blob,blob/source-history,amber-rust-s3,0,push_noop,s3_responses_2xx,1
blob,blob/source-history,amber-rust-s3,0,push_noop,s3_responses_4xx,1
blob,blob/source-history,amber-rust-s3,0,push_noop,stored_bytes,119705002
blob,blob/source-history,amber-rust-s3,0,push_noop,stored_objects,3
blob,blob/source-history,amber-rust-s3,0,pull_fresh,delivered_logical_bytes,4314044416
blob,blob/source-history,amber-rust-s3,0,pull_fresh,delivered_references,39
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_bytes_down,119709217
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_bytes_up,5179
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_connections,3
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_request_body_bytes,0
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_requests_GET,7
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_requests_HEAD,1
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_requests_total,8
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_response_body_bytes,119707961
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_responses_2xx,6
blob,blob/source-history,amber-rust-s3,0,pull_fresh,s3_responses_4xx,2
blob,blob/source-history,amber-rust-s3,0,pull_fresh,stored_bytes,119705002
blob,blob/source-history,amber-rust-s3,0,pull_fresh,stored_objects,3
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_bytes_down,3440
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_bytes_up,53331063
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_connections,4
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_request_body_bytes,53325378
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_requests_GET,2
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_requests_POST,2
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_requests_PUT,4
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_requests_total,8
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_response_body_bytes,2508
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_responses_2xx,7
blob,blob/source-history,amber-rust-s3,0,push_incremental,s3_responses_4xx,1
blob,blob/source-history,amber-rust-s3,0,push_incremental,stored_bytes,120527146
blob,blob/source-history,amber-rust-s3,0,push_incremental,stored_objects,3
blob,blob/source-history,amber-rust-s3,0,pull_incremental,delivered_logical_bytes,1438015488
blob,blob/source-history,amber-rust-s3,0,pull_incremental,delivered_references,13
