group,op,workload,threads,n,go_ns_per_op_median,go_ns_per_op_mad,go_variation,rust_ns_per_op_median,rust_ns_per_op_mad,rust_variation,median_ratio_go_over_rust,ratio_ci_low,ratio_ci_high,mann_whitney_u,p_value,p_method,bytes_kind,go_bytes_per_s_median,rust_bytes_per_s_median,go_ops_per_s_median,rust_ops_per_s_median,go_cpu_ns_per_op_median,rust_cpu_ns_per_op_median,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
chunkers,chunkers.split_bytes,compressible/4-16-64KiB,1,1,54192.109375,0.0,0.0,42343.6875,0.0,0.0,1.2798155421631618,1.2798155421631618,1.2798155421631618,1.0,1.0,exact,payload,1209327349.6054978,1547715937.5880997,18452.870935142484,23616.27102032623,54171.875,42218.75,4194304,1,text,64,,,,,,1,,
chunkers,chunkers.split_bytes,compressible/default-sizes,1,1,1337585.0,0.0,0.0,666936.5,0.0,0.0,2.005565747263795,2.005565747263795,2.005565747263795,1.0,1.0,exact,payload,783932236.0821929,1572227640.862361,747.6160393545083,1499.3931206344232,1333500.0,662000.0,4194304,1,text,4,,,,,,1,,
chunkers,chunkers.split_bytes,random/default-sizes,1,1,51397.444444444445,0.0,0.0,46135.166666666664,0.0,0.0,1.1140621820182965,1.1140621820182965,1.1140621820182965,1.0,1.0,exact,payload,1511209304.9733703,1683581135.784986,19456.220261707782,21675.439198586762,51370.37037037037,46037.03703703704,4194304,1,random,54,,,,,,1,,
chunkers,chunkers.split_bytes,tiny-64KiB/default-sizes,1,1,50727.0,0.0,0.0,22383.0,0.0,0.0,2.2663181879104677,2.2663181879104677,2.2663181879104677,1.0,1.0,exact,payload,1291935261.300688,2927936380.288612,19713.367634593018,44676.76361524371,54000.0,23000.0,65536,1,text,1,,,,,,1,,
fstree,fstree.check_complete,incomplete/jobs-1,1,1,52320.0,0.0,0.0,15129.0,0.0,0.0,3.458258972833631,3.458258972833631,3.458258972833631,1.0,1.0,exact,,,,19113.149847094803,66098.22195782933,71000.0,15000.0,,,structured,16,,,wide,,,1,,
fstree,fstree.check_complete,widest/jobs-1,1,1,794.2471868246516,0.0,0.0,355.3565342673324,0.0,0.0,2.2350712882266706,2.2350712882266706,2.2350712882266706,1.0,1.0,exact,,,,1259053.8771662947,2814075.1711848546,826.7133666194699,354.12474849094565,,,structured,40000,,40000,wide,,40257,1,,
fstree,fstree.check_complete,widest/jobs-N,4,1,448.15197356981395,0.0,0.0,168.0008197332141,0.0,0.0,2.667558255260188,2.667558255260188,2.667558255260188,1.0,1.0,exact,,,,2231385.911422787,5952351.908687133,842.5367016916313,509.70017636684304,,,structured,40000,,40000,wide,,40257,4,,
fstree,fstree.check_complete,width-16/jobs-1,1,1,1898.9411764705883,0.0,0.0,580.4705882352941,0.0,0.0,3.2713822456424806,3.2713822456424806,3.2713822456424806,1.0,1.0,exact,,,,526609.2559320984,1722740.170247264,2588.235294117647,588.2352941176471,,,structured,16,,16,wide,,17,1,width,plain
fstree,fstree.check_complete,width-256/jobs-1,1,1,762.4980694980695,0.0,0.0,361.8494208494208,0.0,0.0,2.1072247889968954,2.1072247889968954,2.1072247889968954,1.0,1.0,exact,,,,1311478.7302455353,2763580.4906155635,826.2548262548263,355.2123552123552,,,structured,256,,256,wide,,259,1,width,plain
fstree,fstree.check_complete,width-40000/jobs-1,1,1,740.9867600665723,0.0,0.0,272.24972054549517,0.0,0.0,2.7217172476132894,2.7217172476132894,2.7217172476132894,1.0,1.0,exact,,,,1349551.7786446782,3673098.352484412,769.8536900414834,271.2074918647689,,,structured,40000,,40000,wide,,40257,1,width,plain
