core,group,op,workload,threads,rep,ops,bytes,bytes_kind,wall_ns,ns_per_op,cpu_user_ns,cpu_sys_ns,max_rss_kib,checksum,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,fstree,fstree.dir_builder,entries-40000,1,0,40000,0,,20287084,507.1771,20011000,1216000,637140,5451962816014331386,,,structured,40000,1,40000,wide,,,1,entries,plain
go,fstree,fstree.dir_builder,entries-4096,1,0,4096,0,,1987046,485.11865234375,1786000,197000,637140,13286298812054168386,,,structured,4096,1,4096,wide,,,1,entries,plain
go,fstree,fstree.encode_blob,1MiB-duplicate,1,0,2,2097152,payload,436604,218302.0,438000,0,637140,3327845511934643117,1048576,2,duplicate,,,,,,,1,item_bytes,duplicate
go,fstree,fstree.encode_blob,1MiB-random,1,0,1,1048576,payload,246140,246140.0,199000,50000,637140,2533466760707363185,1048576,1,random,,,,,,,1,item_bytes,random
go,fstree,fstree.encode_blob,1MiB-text,1,0,1,1048576,payload,262411,262411.0,348000,0,637140,10591185964127964225,1048576,1,text,,,,,,,1,item_bytes,text
go,fstree,fstree.encode_blob,4KiB-duplicate,1,0,256,1048576,payload,467704,1826.96875,472000,0,637140,17774233822483135269,4096,256,duplicate,,,,,,,1,item_bytes,duplicate
go,fstree,fstree.encode_blob,4KiB-random,1,0,256,1048576,payload,501568,1959.25,402000,103000,637140,15260574016213831028,4096,256,random,,,,,,,1,item_bytes,random
go,fstree,fstree.encode_blob,4KiB-text,1,0,256,1048576,payload,545221,2129.76953125,559000,0,637140,10050851277088507205,4096,256,text,,,,,,,1,item_bytes,text
go,fstree,fstree.encode_blob,empty,1,0,800,0,payload,100883,126.10375,86000,22000,637140,11950893846623745253,,800,empty,,,,,,,1,item_bytes,empty
go,fstree,fstree.encode_blob,large-8MiB-duplicate,1,0,2,16777216,payload,3509675,1754837.5,3559000,902000,637140,6013579253605003965,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
go,fstree,fstree.encode_blob,large-8MiB-random,1,0,1,8388608,payload,1922553,1922553.0,1921000,0,637140,18309876851832907018,8388608,1,random,,,,,,,1,item_bytes,random
go,fstree,fstree.encode_blob,large-8MiB-text,1,0,1,8388608,payload,1929526,1929526.0,1926000,0,637140,9430261300512049942,8388608,1,text,,,,,,,1,item_bytes,text
go,fstree,fstree.encode_blob,tiny-64B-duplicate,1,0,16384,1048576,payload,2228096,135.9921875,2168000,38000,637140,8354136380780258085,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
go,fstree,fstree.encode_blob,tiny-64B-random,1,0,16384,1048576,payload,2222526,135.6522216796875,2185000,38000,637140,1495078422366159392,64,16384,random,,,,,,,1,item_bytes,random
go,fstree,fstree.encode_blob,tiny-64B-text,1,0,16384,1048576,payload,2248635,137.24578857421875,2242000,0,637140,8258853772002371914,64,16384,text,,,,,,,1,item_bytes,text
go,fstree,fstree.encode_dir_leaf,entries-1024,1,0,65536,4849856,encoded,10452658,159.49490356445312,10420000,0,637140,14926286625942829477,75779,64,structured,1024,,,leaf,,,1,entries,plain
go,fstree,fstree.encode_dir_leaf,entries-128,1,0,8192,606336,encoded,1351091,164.9281005859375,1349000,0,637140,1374923134133451557,9474,64,structured,128,,,leaf,,,1,entries,plain
go,fstree,fstree.encode_dir_leaf,entries-128-partial-change,1,0,8192,680064,encoded,1450671,177.0838623046875,1454000,0,637140,4655539362595262373,10626,64,partial-change,128,,,leaf,,,1,entries,partial-change
go,fstree,fstree.encode_dir_leaf,entries-128-with-xattrs,1,0,8192,680064,encoded,1429731,174.5277099609375,1431000,0,637140,13784683988985435685,10626,64,structured,128,,,leaf,,,1,entries,with-xattrs
go,fstree,fstree.encode_dir_leaf,entries-8,1,0,512,37952,encoded,127423,248.873046875,136000,0,637140,9483523244623033125,593,64,structured,8,,,leaf,,,1,entries,plain
go,fstree,fstree.encode_dir_node,pairs-1024,1,0,65536,3276992,encoded,4431325,67.61665344238281,4449000,0,637140,13134739177949024805,51203,64,structured,1024,,,index,,,1,entries,plain
go,fstree,fstree.encode_dir_node,pairs-128,1,0,8192,409728,encoded,583906,71.277587890625,590000,0,637140,8693509944766546085,6402,64,structured,128,,,index,,,1,entries,plain
go,fstree,fstree.encode_dir_node,pairs-8,1,0,512,25664,encoded,69994,136.70703125,72000,0,637140,5615932682167956261,401,64,structured,8,,,index,,,1,entries,plain
go,fstree,fstree.encode_file_node,children-1024,1,0,65536,2228416,encoded,2557045,39.01741027832031,2540000,0,637140,7106826622917578021,34819,64,structured,1024,,,file-index,,,1,entries,plain
go,fstree,fstree.encode_file_node,children-128,1,0,8192,278656,encoded,483524,59.02392578125,392000,97000,637140,14969072261990374693,4354,64,structured,128,,,file-index,,,1,entries,plain
go,fstree,fstree.encode_file_node,children-65536,1,0,4194304,142606656,encoded,228852732,54.562743186950684,188139000,54412000,637140,7201247303332347429,2228229,64,structured,65536,,,file-index,,,1,entries,plain
go,fstree,fstree.encode_file_node,children-8,1,0,512,17472,encoded,60225,117.626953125,50000,12000,637140,6472471074395739557,273,64,structured,8,,,file-index,,,1,entries,plain
go,fstree,fstree.encode_xattr_set,xattrs-64,1,0,4096,0,,2002305,488.843994140625,1996000,0,637140,4027580594042018341,,64,structured,64,,,,,,1,,
go,fstree,fstree.index_builder_file,children-1024,1,0,1024,0,,139887,136.6083984375,143000,0,637140,9757242120474664615,,,structured,1024,,1024,file-index,,,1,entries,plain
