core,group,op,workload,threads,n,ops_per_call,bytes_per_call,bytes_kind,ns_per_op_min,ns_per_op_p25,ns_per_op_median,ns_per_op_p75,ns_per_op_max,ns_per_op_mad,variation,cpu_ns_per_op_median,ops_per_s_median,bytes_per_s_median,entries_per_s_median,objects_per_s_median,max_rss_kib_max,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,fstree,fstree.decode_dir_leaf,entries-128-partial-change,1,1,8192,680064,encoded,383.3568115234375,383.3568115234375,383.3568115234375,383.3568115234375,383.3568115234375,0.0,0.0,444.7021484375,2608535.8859962826,216549236.91091016,2608535.8859962826,,637140.0,10626,64,partial-change,128,,,leaf,,,1,entries,partial-change
go,fstree,fstree.decode_dir_leaf,entries-128-with-xattrs,1,1,8192,680064,encoded,369.587890625,369.587890625,369.587890625,369.587890625,369.587890625,0.0,0.0,368.7744140625,2705716.354258597,224616734.22149882,2705716.354258597,,637140.0,10626,64,structured,128,,,leaf,,,1,entries,with-xattrs
go,fstree,fstree.decode_dir_leaf,entries-8,1,1,512,37952,encoded,375.58203125,375.58203125,375.58203125,375.58203125,375.58203125,0.0,0.0,380.859375,2662534.191723263,197360346.96148685,2662534.191723263,,637140.0,593,64,structured,8,,,leaf,,,1,entries,plain
go,fstree,fstree.decode_dir_node,pairs-1024,1,1,65536,3276992,encoded,175.43032836914062,175.43032836914062,175.43032836914062,175.43032836914062,175.43032836914062,0.0,0.0,182.2662353515625,5700268.643947353,285030132.20316046,5700268.643947353,,637140.0,51203,64,structured,1024,,,index,,,1,entries,plain
go,fstree,fstree.decode_dir_node,pairs-128,1,1,8192,409728,encoded,168.0040283203125,168.0040283203125,168.0040283203125,168.0040283203125,168.0040283203125,0.0,0.0,168.701171875,5952238.229034745,297704915.1740659,5952238.229034745,,637140.0,6402,64,structured,128,,,index,,,1,entries,plain
go,fstree,fstree.decode_dir_node,pairs-8,1,1,512,25664,encoded,189.150390625,189.150390625,189.150390625,189.150390625,189.150390625,0.0,0.0,195.3125,5286798.492436367,265000774.4333729,5286798.492436367,,637140.0,401,64,structured,8,,,index,,,1,entries,plain
go,fstree,fstree.decode_file_node,children-1024,1,1,65536,2228416,encoded,86.24400329589844,86.24400329589844,86.24400329589844,86.24400329589844,86.24400329589844,0.0,0.0,86.029052734375,11595009.064793235,394264277.9560895,11595009.064793235,,637140.0,34819,64,structured,1024,,,file-index,,,1,entries,plain
go,fstree,fstree.decode_file_node,children-128,1,1,8192,278656,encoded,88.74853515625,88.74853515625,88.74853515625,88.74853515625,88.74853515625,0.0,0.0,89.599609375,11267791.611877397,383280974.0477671,11267791.611877397,,637140.0,4354,64,structured,128,,,file-index,,,1,entries,plain
go,fstree,fstree.decode_file_node,children-65536,1,1,4194304,142606656,encoded,99.9363420009613,99.9363420009613,99.9363420009613,99.9363420009613,99.9363420009613,0.0,0.0,101.27997398376465,10006369.854825994,340217338.4895183,10006369.854825994,,637140.0,2228229,64,structured,65536,,,file-index,,,1,entries,plain
go,fstree,fstree.decode_file_node,children-8,1,1,512,17472,encoded,110.583984375,110.583984375,110.583984375,110.583984375,110.583984375,0.0,0.0,117.1875,9042900.793020012,308588989.5618079,9042900.793020012,,637140.0,273,64,structured,8,,,file-index,,,1,entries,plain
go,fstree,fstree.dir_builder,entries-16,1,1,16,0,,2263.6875,2263.6875,2263.6875,2263.6875,2263.6875,0.0,0.0,2625.0,441757.08882078464,,441757.08882078464,,637140.0,,,structured,16,1,16,wide,,,1,entries,plain
go,fstree,fstree.dir_builder,entries-256,1,1,256,0,,592.265625,592.265625,592.265625,592.265625,592.265625,0.0,0.0,589.84375,1688431.6053291121,,1688431.6053291121,,637140.0,,,structured,256,1,256,wide,,,1,entries,plain
go,fstree,fstree.dir_builder,entries-40000,1,1,40000,0,,507.1771,507.1771,507.1771,507.1771,507.1771,0.0,0.0,530.675,1971697.8546547154,,1971697.8546547154,,637140.0,,,structured,40000,1,40000,wide,,,1,entries,plain
go,fstree,fstree.dir_builder,entries-4096,1,1,4096,0,,485.11865234375,485.11865234375,485.11865234375,485.11865234375,485.11865234375,0.0,0.0,484.130859375,2061351.372841897,,2061351.372841897,,637140.0,,,structured,4096,1,4096,wide,,,1,entries,plain
go,fstree,fstree.encode_blob,1MiB-duplicate,1,1,2,2097152,payload,218302.0,218302.0,218302.0,218302.0,218302.0,0.0,0.0,219000.0,4580.810070452859,4803327500.435177,,,637140.0,1048576,2,duplicate,,,,,,,1,item_bytes,duplicate
go,fstree,fstree.encode_blob,1MiB-random,1,1,1,1048576,payload,246140.0,246140.0,246140.0,246140.0,246140.0,0.0,0.0,249000.0,4062.728528479727,4260079629.4791584,,,637140.0,1048576,1,random,,,,,,,1,item_bytes,random
go,fstree,fstree.encode_blob,1MiB-text,1,1,1,1048576,payload,262411.0,262411.0,262411.0,262411.0,262411.0,0.0,0.0,348000.0,3810.8158575669463,3995930048.6641183,,,637140.0,1048576,1,text,,,,,,,1,item_bytes,text
go,fstree,fstree.encode_blob,4KiB-duplicate,1,1,256,1048576,payload,1826.96875,1826.96875,1826.96875,1826.96875,1826.96875,0.0,0.0,1843.75,547354.737184202,2241965003.506491,,,637140.0,4096,256,duplicate,,,,,,,1,item_bytes,duplicate
go,fstree,fstree.encode_blob,4KiB-random,1,1,256,1048576,payload,1959.25,1959.25,1959.25,1959.25,1959.25,0.0,0.0,1972.65625,510399.387520735,2090595891.2849305,,,637140.0,4096,256,random,,,,,,,1,item_bytes,random
go,fstree,fstree.encode_blob,4KiB-text,1,1,256,1048576,payload,2129.76953125,2129.76953125,2129.76953125,2129.76953125,2129.76953125,0.0,0.0,2183.59375,469534.3723004066,1923212788.9424655,,,637140.0,4096,256,text,,,,,,,1,item_bytes,text
go,fstree,fstree.encode_blob,empty,1,1,800,0,payload,126.10375,126.10375,126.10375,126.10375,126.10375,0.0,0.0,135.0,7929978.291684426,,,,637140.0,,800,empty,,,,,,,1,item_bytes,empty
go,fstree,fstree.encode_blob,large-8MiB-duplicate,1,1,2,16777216,payload,1754837.5,1754837.5,1754837.5,1754837.5,1754837.5,0.0,0.0,2230500.0,569.8533339981623,4780276236.403656,,,637140.0,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
go,fstree,fstree.encode_blob,large-8MiB-random,1,1,1,8388608,payload,1922553.0,1922553.0,1922553.0,1922553.0,1922553.0,0.0,0.0,1921000.0,520.1417074067659,4363264887.886056,,,637140.0,8388608,1,random,,,,,,,1,item_bytes,random
go,fstree,fstree.encode_blob,large-8MiB-text,1,1,1,8388608,payload,1929526.0,1929526.0,1929526.0,1929526.0,1929526.0,0.0,0.0,1926000.0,518.2619980243852,4347496742.723342,,,637140.0,8388608,1,text,,,,,,,1,item_bytes,text
go,fstree,fstree.encode_blob,tiny-64B-duplicate,1,1,16384,1048576,payload,135.9921875,135.9921875,135.9921875,135.9921875,135.9921875,0.0,0.0,134.6435546875,7353363.589360602,470615269.71907854,,,637140.0,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
go,fstree,fstree.encode_blob,tiny-64B-random,1,1,16384,1048576,payload,135.6522216796875,135.6522216796875,135.6522216796875,135.6522216796875,135.6522216796875,0.0,0.0,135.68115234375,7371792.275995871,471794705.66373575,,,637140.0,64,16384,random,,,,,,,1,item_bytes,random
go,fstree,fstree.encode_blob,tiny-64B-text,1,1,16384,1048576,payload,137.24578857421875,137.24578857421875,137.24578857421875,137.24578857421875,137.24578857421875,0.0,0.0,136.8408203125,7286198.071274351,466316676.5615585,,,637140.0,64,16384,text,,,,,,,1,item_bytes,text
go,fstree,fstree.encode_dir_leaf,entries-1024,1,1,65536,4849856,encoded,159.49490356445312,159.49490356445312,159.49490356445312,159.49490356445312,159.49490356445312,0.0,0.0,158.99658203125,6269792.812507594,463983036.6591923,6269792.812507594,,637140.0,75779,64,structured,1024,,,leaf,,,1,entries,plain
go,fstree,fstree.encode_dir_leaf,entries-128,1,1,8192,606336,encoded,164.9281005859375,164.9281005859375,164.9281005859375,164.9281005859375,164.9281005859375,0.0,0.0,164.6728515625,6063248.1453876905,448775101.01096076,6063248.1453876905,,637140.0,9474,64,structured,128,,,leaf,,,1,entries,plain
go,fstree,fstree.encode_dir_leaf,entries-128-partial-change,1,1,8192,680064,encoded,177.0838623046875,177.0838623046875,177.0838623046875,177.0838623046875,177.0838623046875,0.0,0.0,177.490234375,5647041.9550676895,468792717.3011662,5647041.9550676895,,637140.0,10626,64,partial-change,128,,,leaf,,,1,entries,partial-change
go,fstree,fstree.encode_dir_leaf,entries-128-with-xattrs,1,1,8192,680064,encoded,174.5277099609375,174.5277099609375,174.5277099609375,174.5277099609375,174.5277099609375,0.0,0.0,174.6826171875,5729749.162604714,475658707.8268569,5729749.162604714,,637140.0,10626,64,structured,128,,,leaf,,,1,entries,with-xattrs
go,fstree,fstree.encode_dir_leaf,entries-8,1,1,512,37952,encoded,248.873046875,248.873046875,248.873046875,248.873046875,248.873046875,0.0,0.0,265.625,4018112.899555025,297842618.67951626,4018112.899555025,,637140.0,593,64,structured,8,,,leaf,,,1,entries,plain
go,fstree,fstree.encode_dir_node,pairs-1024,1,1,65536,3276992,encoded,67.61665344238281,67.61665344238281,67.61665344238281,67.61665344238281,67.61665344238281,0.0,0.0,67.8863525390625,14789256.035158785,739506129.6564797,14789256.035158785,,637140.0,51203,64,structured,1024,,,index,,,1,entries,plain
go,fstree,fstree.encode_dir_node,pairs-128,1,1,8192,409728,encoded,71.277587890625,71.277587890625,71.277587890625,71.277587890625,71.277587890625,0.0,0.0,72.021484375,14029655.458241567,701701986.2786133,14029655.458241567,,637140.0,6402,64,structured,128,,,index,,,1,entries,plain
go,fstree,fstree.encode_dir_node,pairs-8,1,1,512,25664,encoded,136.70703125,136.70703125,136.70703125,136.70703125,136.70703125,0.0,0.0,140.625,7314912.70680344,366659999.42852247,7314912.70680344,,637140.0,401,64,structured,8,,,index,,,1,entries,plain
go,fstree,fstree.encode_file_node,children-1024,1,1,65536,2228416,encoded,39.01741027832031,39.01741027832031,39.01741027832031,39.01741027832031,39.01741027832031,0.0,0.0,38.75732421875,25629584.148890615,871480947.7345921,25629584.148890615,,637140.0,34819,64,structured,1024,,,file-index,,,1,entries,plain
go,fstree,fstree.encode_file_node,children-128,1,1,8192,278656,encoded,59.02392578125,59.02392578125,59.02392578125,59.02392578125,59.02392578125,0.0,0.0,59.6923828125,16942282.0790695,576302313.8458484,16942282.0790695,,637140.0,4354,64,structured,128,,,file-index,,,1,entries,plain
go,fstree,fstree.encode_file_node,children-65536,1,1,4194304,142606656,encoded,54.562743186950684,54.562743186950684,54.562743186950684,54.562743186950684,54.562743186950684,0.0,0.0,57.828664779663086,18327524.270062026,623137223.4612432,18327524.270062026,,637140.0,2228229,64,structured,65536,,,file-index,,,1,entries,plain
go,fstree,fstree.encode_file_node,children-8,1,1,512,17472,encoded,117.626953125,117.626953125,117.626953125,117.626953125,117.626953125,0.0,0.0,121.09375,8501452.885014528,290112079.7011208,8501452.885014528,,637140.0,273,64,structured,8,,,file-index,,,1,entries,plain
go,fstree,fstree.encode_xattr_set,xattrs-64,1,1,4096,0,,488.843994140625,488.843994140625,488.843994140625,488.843994140625,488.843994140625,0.0,0.0,487.3046875,2045642.3971372992,,,,637140.0,,64,structured,64,,,,,,1,,
go,fstree,fstree.index_builder_file,children-1024,1,1,1024,0,,136.6083984375,136.6083984375,136.6083984375,136.6083984375,136.6083984375,0.0,0.0,139.6484375,7320194.156712203,,7320194.156712203,,637140.0,,,structured,1024,,1024,file-index,,,1,entries,plain
go,fstree,fstree.index_builder_file,children-128,1,1,128,0,,220.890625,220.890625,220.890625,220.890625,220.890625,0.0,0.0,265.625,4527127.3961943835,,4527127.3961943835,,637140.0,,,structured,128,,128,file-index,,,1,entries,plain
go,fstree,fstree.index_builder_file,children-65536,1,1,65536,0,,128.35935974121094,128.35935974121094,128.35935974121094,128.35935974121094,128.35935974121094,0.0,0.0,127.8076171875,7790627.828123553,,7790627.828123553,,637140.0,,,structured,65536,,65536,file-index,,,1,entries,plain
