core,group,op,workload,threads,rep,ops,bytes,bytes_kind,wall_ns,ns_per_op,cpu_user_ns,cpu_sys_ns,max_rss_kib,checksum,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,amberpack,amberpack.reader_all,mixed-objects/producer-go,1,1,500,10070344,encoded,8239640,16479.28,8195000,23000,1813432,8309917618078602499,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-go,1,2,500,10070344,encoded,8196227,16392.454,8159000,18000,1813432,8309917618078602499,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-go,1,3,500,10070344,encoded,8174816,16349.632,8154000,0,1813432,8309917618078602499,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,0,500,10053753,encoded,8598626,17197.252,8583000,0,1813432,8309917618078602499,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,1,500,10053753,encoded,8027395,16054.79,7999000,0,1813432,8309917618078602499,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,2,500,10053753,encoded,7986797,15973.594,7958000,0,1813432,8309917618078602499,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,3,500,10053753,encoded,7812053,15624.106,7806000,0,1813432,8309917618078602499,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-go,1,0,64,0,,294566302,4602598.46875,292990000,8674000,1813432,9489642868898812965,5035172,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-go,1,1,64,0,,308279969,4816874.515625,291995000,24725000,1813432,9489642868898812965,5035172,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-go,1,2,64,0,,342130714,5345792.40625,301903000,66788000,1813432,9489642868898812965,5035172,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-go,1,3,64,0,,337199534,5268742.71875,302969000,60072000,1813432,9489642868898812965,5035172,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-rust,1,0,64,0,,322073478,5032398.09375,287124000,60419000,1813432,9489642868898812965,5026876,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-rust,1,1,64,0,,323093777,5048340.265625,284295000,63623000,1813432,9489642868898812965,5026876,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-rust,1,2,64,0,,324394682,5068666.90625,298069000,50931000,1813432,9489642868898812965,5026876,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-rust,1,3,64,0,,329789037,5152953.703125,288775000,66616000,1813432,9489642868898812965,5026876,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-go,1,0,500,10070344,encoded,1276819,2553.638,1270000,0,1813432,13551615618179880529,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-go,1,1,500,10070344,encoded,777105,1554.21,682000,99000,1813432,13551615618179880529,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-go,1,2,500,10070344,encoded,726738,1453.476,729000,0,1813432,13551615618179880529,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-go,1,3,500,10070344,encoded,711900,1423.8,305000,905000,1813432,13551615618179880529,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-rust,1,0,500,10053753,encoded,756164,1512.328,756000,0,1813432,4451174990343454638,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-rust,1,1,500,10053753,encoded,710597,1421.194,623000,90000,1813432,4451174990343454638,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-rust,1,2,500,10053753,encoded,725535,1451.07,636000,92000,1813432,4451174990343454638,,500,structured,,,,,,500,1,,
