op,dimension,series,value,workload,go_ns_per_op,rust_ns_per_op,ratio_go_over_rust,go_ns_per_unit,rust_ns_per_unit
fstree.dir_builder,entries,plain,16,entries-16,1363.25,333.125,4.092307692307692,1363.25,333.125
fstree.dir_builder,entries,plain,256,entries-256,545.609375,334.58203125,1.6307192976311395,545.609375,334.58203125
fstree.dir_builder,entries,plain,4096,entries-4096,482.15380859375,320.113525390625,1.5061963033439216,482.15380859375,320.113525390625
fstree.dir_builder,entries,plain,40000,entries-40000,496.599125,332.8849,1.4918042993238805,496.599125,332.8849
fstree.encode_blob,item_bytes,duplicate,64,tiny-64B-duplicate,135.32012939453125,107.1572265625,1.2628185119703998,2.114377021789551,1.6743316650390625
fstree.encode_blob,item_bytes,duplicate,4096,4KiB-duplicate,1786.146484375,1121.7431640625,1.59229540379484,0.43607091903686523,0.2738630771636963
fstree.encode_blob,item_bytes,duplicate,1048576,1MiB-duplicate,192750.75,135028.0,1.4274872619012353,0.183821439743042,0.12877273559570312
fstree.encode_blob,item_bytes,duplicate,8388608,large-8MiB-duplicate,1515630.5,1099275.0,1.3787546337358714,0.18067723512649536,0.13104379177093506
fstree.encode_blob,item_bytes,random,64,tiny-64B-random,135.77996826171875,107.7479248046875,1.260163186510036,2.1215620040893555,1.6835613250732422
fstree.encode_blob,item_bytes,random,4096,4KiB-random,1817.3291015625,1121.10546875,1.6210152855545064,0.4436838626861572,0.27370738983154297
fstree.encode_blob,item_bytes,random,1048576,1MiB-random,202469.25,134101.25,1.5098237339323832,0.19308972358703613,0.12788891792297363
fstree.encode_blob,item_bytes,random,8388608,large-8MiB-random,1528089.0,1121603.0,1.3624152217852485,0.18216240406036377,0.1337054967880249
fstree.encode_blob,item_bytes,text,64,tiny-64B-text,135.43511962890625,108.42486572265625,1.2491149398823373,2.11617374420166,1.694138526916504
fstree.encode_blob,item_bytes,text,4096,4KiB-text,1915.896484375,1127.1923828125,1.6997067347053703,0.46774816513061523,0.275193452835083
fstree.encode_blob,item_bytes,text,1048576,1MiB-text,205397.5,135251.0,1.5186394185625245,0.19588232040405273,0.12898540496826172
fstree.encode_blob,item_bytes,text,8388608,large-8MiB-text,1523721.0,1118667.0,1.362086304503485,0.18164169788360596,0.1333554983139038
fstree.encode_dir_leaf,entries,plain,8,entries-8,235.0390625,129.701171875,1.812158356799735,235.0390625,129.701171875
fstree.encode_dir_leaf,entries,plain,128,entries-128,165.4356689453125,59.40673828125,2.7847963670735214,165.4356689453125,59.40673828125
fstree.encode_dir_leaf,entries,plain,1024,entries-1024,152.247314453125,50.433868408203125,3.018751471151513,152.247314453125,50.433868408203125
fstree.encode_dir_node,entries,plain,8,pairs-8,133.771484375,90.2109375,1.4828743396553217,133.771484375,90.2109375
fstree.encode_dir_node,entries,plain,128,pairs-128,70.2098388671875,42.8785400390625,1.637412066810719,70.2098388671875,42.8785400390625
fstree.encode_dir_node,entries,plain,1024,pairs-1024,65.17486572265625,31.644927978515625,2.059567516377499,65.17486572265625,31.644927978515625
fstree.encode_file_node,entries,plain,8,children-8,109.369140625,45.673828125,2.394569168270259,109.369140625,45.673828125
fstree.encode_file_node,entries,plain,128,children-128,48.076416015625,18.7515869140625,2.5638585275985757,48.076416015625,18.7515869140625
fstree.encode_file_node,entries,plain,1024,children-1024,39.11907958984375,13.527435302734375,2.8918326877480163,39.11907958984375,13.527435302734375
fstree.encode_file_node,entries,plain,65536,children-65536,42.44748830795288,12.452049016952515,3.4088757802160803,42.44748830795288,12.452049016952515
fstree.index_builder_file,entries,plain,8,children-8,1219.875,68.875,17.711433756805807,1219.875,68.875
fstree.index_builder_file,entries,plain,128,children-128,197.015625,66.53125,2.961249412869892,197.015625,66.53125
fstree.index_builder_file,entries,plain,1024,children-1024,130.0341796875,70.3203125,1.8491695367181424,130.0341796875,70.3203125
fstree.index_builder_file,entries,plain,65536,children-65536,118.18719482421875,68.57734680175781,1.7234145142108255,118.18719482421875,68.57734680175781
fstree.list_entries,width,plain,16,width-16/full-paging-100,557.3125,221.0,2.5217760180995477,557.3125,221.0
fstree.list_entries,width,plain,256,width-256/full-paging-100,657.5859375,399.1640625,1.6474076683694439,657.5859375,399.1640625
fstree.list_entries,width,plain,4096,width-4096/full-paging-100,1151.498779296875,690.19775390625,1.6683606586370952,1151.498779296875,690.19775390625
fstree.list_entries,width,plain,40000,width-40000/full-paging-100,1357.24765,810.8091,1.6739423003515872,1357.24765,810.8091
fstree.lookup_entry,width,hit,16,width-16/hit,5069.8295,2969.067,1.7075497117444638,633728.6875,371133.375
fstree.lookup_entry,width,hit,256,width-256/hit,41831.6835,24971.682,1.6751648327093065,326810.02734375,195091.265625
fstree.lookup_entry,width,hit,4096,width-4096/hit,79978.5155,48160.3585,1.6606710994478995,39052.009521484375,23515.800048828125
fstree.lookup_entry,width,hit,40000,width-40000/hit,103122.2815,61830.9675,1.6678096052758675,5156.114075,3091.548375
fstree.lookup_entry,width,miss,16,width-16/miss,5393.3675,2972.2125,1.8145968701766781,674170.9375,371526.5625
fstree.lookup_entry,width,miss,256,width-256/miss,638.9805,212.481,3.0072359410959097,4992.03515625,1660.0078125
fstree.lookup_entry,width,miss,4096,width-4096/miss,3756.2005,2141.9815,1.7536101502277215,1834.082275390625,1045.889404296875
fstree.lookup_entry,width,miss,40000,width-40000/miss,639.742,214.7955,2.978377107527858,31.9871,10.739775
fstree.reachable_keys,width,plain,16,width-16,1264.1764705882354,6292.0,0.20091806589132793,1343.1875,6685.25
fstree.reachable_keys,width,plain,256,width-256,343.4749034749035,699.1737451737451,0.49125829716267416,347.5,707.3671875
fstree.reachable_keys,width,plain,4096,width-4096,143.05337214944203,149.22731683648715,0.9586272485632767,143.96142578125,150.174560546875
fstree.reachable_keys,width,plain,40000,width-40000,119.95066696475148,101.64932806716844,1.1800438748152842,120.72135,102.302425
fstree.resolve_entry,depth,plain,1,depth-1,6202.59375,3453.47265625,1.7960454207664613,6202.59375,3453.47265625
fstree.resolve_entry,depth,plain,4,depth-4,8933.08203125,4725.12109375,1.890550920073973,2233.2705078125,1181.2802734375
fstree.resolve_entry,depth,plain,12,depth-12,15935.32421875,8227.23828125,1.936898345957336,1327.9436848958333,685.6031901041666
fstree.resolve_entry,depth,plain,24,depth-24,26578.11328125,13571.74609375,1.9583414763034532,1107.42138671875,565.4894205729166
fstree.resolve_path,depth,plain,1,depth-1,893.97265625,470.86328125,1.8985822251350164,893.97265625,470.86328125
fstree.resolve_path,depth,plain,4,depth-4,3356.87890625,1766.6171875,1.9001733539117398,839.2197265625,441.654296875
fstree.resolve_path,depth,plain,12,depth-12,10181.75390625,5217.8984375,1.951313163375461,848.4794921875,434.8248697916667
fstree.resolve_path,depth,plain,24,depth-24,20444.2109375,10344.01953125,1.9764281066694258,851.8421223958334,431.0008138020833
key.new,item_bytes,duplicate,64,tiny-64B-duplicate,107.14190673828125,82.361328125,1.3008763843107496,1.6740922927856445,1.286895751953125
key.new,item_bytes,duplicate,4096,4KiB-duplicate,1761.94970703125,1069.63134765625,1.64724950413242,0.43016350269317627,0.26114046573638916
key.new,item_bytes,duplicate,1048576,1MiB-duplicate,190314.75,132570.75,1.4355711950034227,0.18149828910827637,0.12642931938171387
key.new,item_bytes,duplicate,8388608,large-8MiB-duplicate,1520790.0,949919.5,1.6009672398555879,0.18129229545593262,0.11323922872543335
key.new,item_bytes,random,64,tiny-64B-random,107.15472412109375,81.8623046875,1.308962953463681,1.6742925643920898,1.2790985107421875
key.new,item_bytes,random,4096,4KiB-random,1785.2900390625,1069.72900390625,1.66891804610634,0.43586182594299316,0.2611643075942993
key.new,item_bytes,random,1048576,1MiB-random,192487.625,120893.5,1.5922082245943743,0.1835705041885376,0.11529302597045898
key.new,item_bytes,random,8388608,large-8MiB-random,1541775.0,952039.0,1.619445211803298,0.18379390239715576,0.11349189281463623
key.new,item_bytes,text,64,tiny-64B-text,106.7908935546875,81.6458740234375,1.3079766103554944,1.6686077117919922,1.275716781616211
key.new,item_bytes,text,4096,4KiB-text,1798.7880859375,1073.37353515625,1.675826752776844,0.43915724754333496,0.26205408573150635
key.new,item_bytes,text,1048576,1MiB-text,192216.0,122753.25,1.5658730013258304,0.18331146240234375,0.11706662178039551
key.new,item_bytes,text,8388608,large-8MiB-text,1527568.0,953602.0,1.601892613480257,0.1821002960205078,0.1136782169342041
packstore.put,item_bytes,duplicate,64,tiny-64B-duplicate/sync-off,92.0269775390625,82.9085693359375,1.109981492578627,1.4379215240478516,1.2954463958740234
packstore.put,item_bytes,duplicate,4096,4KiB-duplicate/sync-off,692.88671875,550.03515625,1.2597135126305847,0.16916179656982422,0.13428592681884766
packstore.put,item_bytes,duplicate,1048576,1MiB-duplicate/sync-off,513641.0,271078.0,1.8948088741985702,0.48984622955322266,0.25852012634277344
packstore.put,item_bytes,duplicate,8388608,large-8MiB-duplicate/sync-off,3279540.0,1575529.5,2.0815478224939614,0.39095163345336914,0.1878177523612976
packstore.put,item_bytes,text,64,tiny-64B-text/sync-off,2316.6072387695312,2213.8823852539062,1.0464003210829305,36.196988105773926,34.591912269592285
packstore.put,item_bytes,text,4096,4KiB-text/sync-off,26924.79296875,16155.15625,1.666637731761338,6.5734357833862305,3.9441299438476562
packstore.put,item_bytes,text,1048576,1MiB-text/sync-off,3733853.0,1972558.0,1.892898966722398,3.560879707336426,1.8811779022216797
packstore.put,item_bytes,text,8388608,large-8MiB-text/sync-off,26764887.0,14494137.0,1.8466009394005314,3.190623164176941,1.727835774421692
