group,op,workload,threads,n,go_ns_per_op_median,go_ns_per_op_mad,go_variation,rust_ns_per_op_median,rust_ns_per_op_mad,rust_variation,median_ratio_go_over_rust,ratio_ci_low,ratio_ci_high,mann_whitney_u,p_value,p_method,bytes_kind,go_bytes_per_s_median,rust_bytes_per_s_median,go_ops_per_s_median,rust_ops_per_s_median,go_cpu_ns_per_op_median,rust_cpu_ns_per_op_median,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
amberpack,amberpack.encode_record,4KiB-random,1,7,3668.3359375,108.8603515625,0.0296756767693117,4500.4326171875,158.37890625,0.035191929248121326,0.8151074017840733,0.7641951989203319,0.8864143701680545,0.0,0.0005827505827505828,exact,payload,1116582578.527815,910134724.4611683,272603.16858589236,222200.8604641524,4616.2109375,4475.5859375,4096,1024,random,,,,,,,1,item_bytes,random
amberpack,amberpack.encode_record,4KiB-text,1,7,24286.892578125,254.744140625,0.01048895571162718,14217.1884765625,7.6611328125,0.0005388641238828357,1.70827675374514,1.6876229106899812,1.7247807759161187,49.0,0.0005827505827505828,exact,payload,168650640.95063496,288101969.4401878,41174.47288833861,70337.39488285835,24995.1171875,14166.015625,4096,1024,text,,,,,,,1,item_bytes,text
amberpack,amberpack.encode_record,empty,1,7,61.997125,0.856624999999994,0.01381717297374667,290.13175,1.3776249999999663,0.004748273844554987,0.2136861098449239,0.21221593014298495,0.22348450130468,0.0,0.0005827505827505828,exact,payload,,,16129780.211582392,3446709.986066675,62.375,289.625,,8000,empty,,,,,,,1,item_bytes,empty
amberpack,amberpack.encode_record,large-8MiB-duplicate,1,7,3810949.5,91479.5,0.024004385258844286,2071953.0,3892.5,0.001878662305563881,1.8393030633416878,1.803960879112199,1.9420639445214927,49.0,0.0005827505827505828,exact,payload,2201185819.9642897,4048647821.644603,262.40179776719685,482.6364304595712,4285500.0,2062500.0,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
amberpack,amberpack.encode_record,large-8MiB-random,1,7,3667516.0,64293.0,0.017530393868765672,2077288.0,14117.0,0.0067958800127859015,1.7655308267317773,1.7581400160716778,1.9858245273873,49.0,0.0005827505827505828,exact,payload,2287272366.364591,4038249871.9484253,272.66411380345716,481.39689826350514,4087000.0,2061000.0,8388608,1,random,,,,,,,1,item_bytes,random
amberpack,amberpack.encode_record,large-8MiB-text,1,7,25683472.0,313700.0,0.01221408071307493,14086068.0,24727.0,0.001755422450040707,1.8233244365993406,1.8003127903048204,1.9038581194831194,49.0,0.0005827505827505828,exact,payload,326615030.8649859,595525167.1367766,38.93554578602146,70.9921320839854,26385000.0,14025000.0,8388608,1,text,,,,,,,1,item_bytes,text
amberpack,amberpack.encode_record,tiny-64B-duplicate,1,7,513.45703125,4.037841796875,0.00786403058313363,619.009033203125,5.27069091796875,0.008514723752406366,0.8294822913860636,0.7804222665620241,0.8389735285222221,0.0,0.0005827505827505828,exact,payload,124645288.90410438,103391059.85065438,1947582.639126631,1615485.3101664747,512.5732421875,617.12646484375,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
amberpack,amberpack.encode_record,tiny-64B-random,1,7,562.1578369140625,15.207275390625,0.027051611472864244,622.2683715820312,6.18731689453125,0.009943164681182257,0.9034009481871206,0.8525176095245788,0.9334152099498519,0.0,0.0005827505827505828,exact,payload,113847029.77961637,102849514.65119278,1778859.8403065058,1607023.6664248873,560.4248046875,620.361328125,64,16384,random,,,,,,,1,item_bytes,random
amberpack,amberpack.encode_record,tiny-64B-text,1,7,1135.0582885742188,6.97198486328125,0.006142402494623401,1160.9016723632812,0.99188232421875,0.0008544068355070472,0.9777385247999063,0.9714563647480794,0.9875702186768901,5.0,0.011072261072261072,exact,payload,56384769.526146844,55129561.37767753,881012.0238460444,861399.3965262114,1131.4697265625,1156.8603515625,64,16384,text,,,,,,,1,item_bytes,text
amberpack,amberpack.parse_record,corrupt-crc/producer-go,1,7,131.578125,5.3203125,0.04043462771642323,102.0703125,0.1953125,0.0019135093761959434,1.2890929965556832,1.2369690011481056,1.389272030651341,49.0,0.0021407097315851256,normal,,,,7600047.500296877,9797168.00612323,156.25,101.5625,,256,structured,,,,,,,1,,
amberpack,amberpack.parse_record,corrupt-crc/producer-rust,1,7,129.23046875,2.38671875,0.01846869993652329,101.875,0.078125,0.0007668711656441718,1.2685199386503068,1.24498850134151,1.3237145049884882,49.0,0.002116561602570585,normal,,,,7738113.230360003,9815950.9202454,148.4375,105.46875,,256,structured,,,,,,,1,,
amberpack,amberpack.parse_record,mixed-records/producer-go,1,7,723.842,8.538000000000011,0.011795391812025291,2275.006,4.427999999999884,0.001946368493094033,0.31817146855876427,0.29816884212927797,0.32685593915475325,0.0,0.0005827505827505828,exact,encoded,27824702075.867386,8853026321.688822,1381516.9608837287,439559.28028321685,736.0,2272.0,,500,structured,,,,,,500,1,,
amberpack,amberpack.parse_record,mixed-records/producer-rust,1,7,714.264,8.135999999999967,0.011390746278686826,2269.276,0.5219999999999345,0.0002300293133139973,0.3147541330362636,0.31301767691232574,0.3263101116940783,0.0,0.0005827505827505828,exact,encoded,28151364201.471725,8860758233.022339,1400042.5612938632,440669.1825939198,722.0,2266.0,,500,structured,,,,,,500,1,,
amberpack,amberpack.reader_all,mixed-objects/producer-go,1,7,16479.28,129.64799999999923,0.007867334009738243,13581.004,160.36399999999958,0.011807963534949225,1.2134066082301425,1.1929273708410983,1.30140794229716,49.0,0.0005827505827505828,exact,encoded,1222182522.5373924,1483004349.3102572,60682.26281730755,73632.25870487926,16436.0,13548.0,,500,structured,,,,,,500,1,,
amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,7,16054.79,373.9360000000015,0.02329124205299487,12704.71,104.80199999999968,0.00824906668471769,1.2636880338079344,1.2272289427434961,1.364871235567752,49.0,0.0005827505827505828,exact,encoded,1252430333.8754354,1582681226.0964634,62286.70695786118,78710.96624795056,15998.0,12648.0,,500,structured,,,,,,500,1,,
amberpack,amberpack.reader_all,truncated-stream/producer-go,1,7,5268742.71875,289918.9375,0.05502620890336106,3280197.703125,3085.109375,0.0009405254360311447,1.606227183724487,1.459441916089278,1.6310704538155998,49.0,0.0005827505827505828,exact,,,,189.798601560345,304.85967325911895,5672515.625,3266812.5,5035172,64,structured,,,,,,,1,,
