group,scenario,backend,rep,op,counter,value
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,s3_connections,1
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,s3_request_body_bytes,0
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,s3_requests_GET,2
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,s3_requests_total,2
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,s3_response_body_bytes,1551
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,s3_responses_2xx,1
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,s3_responses_4xx,1
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,stored_bytes,15428920
blob,blob/backup-corpus,amber-rust-s3,1,push_noop,stored_objects,3
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,delivered_logical_bytes,34237158
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,delivered_references,1
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_bytes_down,15433075
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_bytes_up,5139
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_connections,3
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_request_body_bytes,0
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_requests_GET,7
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_requests_HEAD,1
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_requests_total,8
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_response_body_bytes,15431825
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_responses_2xx,6
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,s3_responses_4xx,2
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,stored_bytes,15428920
blob,blob/backup-corpus,amber-rust-s3,1,pull_fresh,stored_objects,3
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_bytes_down,2179
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_bytes_up,7197217
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_connections,2
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_request_body_bytes,7194592
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_requests_GET,2
blob,blob/backup-corpus,amber-rust-s3,1,push_incremental,s3_requests_PUT,2
